p1x,p1y,p1sx,p1sy,p1a,p1wx,p1wy,tf1,pf1,p2x,p2y,p2sx,p2sy,p2a,p2wx,p2wy,tf2,pf2,p3x,p3y,p3sx,p3sy,p3a,p3wx,p3wy,tf3,pf3,p4x,p4y,p4sx,p4sy,p4a,p4wx,p4wy,tf4,pf4,p1tx,p1ty,p1t,p2tx,p2ty,p2t
9299,2755,61,446,2.0590474712600866,7668,5952,0,0,9083,1760,-39,185,2.1776698512262227,7668,5952,0,0,6669,6171,-710,358,3.036881117277951,3114,7545,1,1,9058,3864,24,209,-1.2217399384618033,14527,7778,1,0,-92783,16623,200,43259,-90105,200
9383,3119,147,37,1.963741720681664,7668,5952,0,0,8986,2136,-82,320,1.8635105858672434,7668,5952,0,0,5760,6550,-772,322,3.036881117277951,3114,7545,1,1,9128,3967,-17,359,-1.2217391116939638,14527,7778,1,0,-92054,-14241,200,12617,-95972,200
9402,3310,16,161,2.2663025536917796,7668,5952,0,0,8818,2637,-142,425,2.0152155366959956,7668,5952,0,0,4792,6830,-822,238,-2.932153216938964,3114,7545,1,1,9118,4126,-8,135,-1.535898377052943,14527,7778,1,0,-81810,-43169,0,43319,-89843,200
9461,3324,67,-39,1.9521432883328003,7668,5952,0,0,8554,3221,-224,496,2.225699221938388,7668,5952,0,0,3970,7068,-698,202,-2.617999836410989,3114,7545,1,1,9061,4405,-66,288,-1.2217391116939638,14527,7778,1,0,-62943,-67246,0,70627,-74396,200
9416,3450,-38,107,2.16767525754846,7668,5952,0,0,8269,3889,-242,568,1.911539956579409,7668,5952,0,0,3272,7270,-593,171,-2.30384057105201,9525,4379,1,1,9118,4535,48,110,-0.9075798463349845,14527,7778,1,0,-37401,-84084,0,43319,-89434,200
9336,3663,-22,-86,1.8555501669838033,7668,5952,0,0,8027,4457,-205,482,2.225699221938388,7668,5952,0,0,2679,7441,-504,145,-1.9896813056930305,9525,4379,1,1,9220,4543,41,274,-1.2217391116939638,14527,7778,1,0,-7773,-92011,200,12709,-95396,0
9230,3758,-90,81,2.006276074828631,7668,5952,0,0,7691,5090,-285,538,2.286146280269576,7668,5952,0,0,2154,7387,-446,-45,-1.6755220403340512,9525,4379,1,1,9261,4817,34,232,-1.535898377052943,14527,7778,1,0,22945,-90427,200,-18302,-91309,0
9054,4020,-149,222,2.0152155366959956,7668,5952,0,0,7238,5736,-385,548,2.5721783638846363,3114,7545,0,0,1750,7146,-343,-204,-1.3613627749750719,9525,4379,1,1,9295,5049,28,197,-1.850042403688666,14527,7778,1,0,51749,-79456,200,-46624,-77854,0
8816,4421,-202,340,2.0322068030624925,7668,5952,0,0,6659,6334,-491,508,2.8863376292436156,3114,7545,0,0,1507,6769,-206,-320,-1.0472035096160925,9525,4379,1,1,9323,5246,23,167,-2.164201669047645,14527,7778,1,0,75821,-60144,200,-69478,-56320,0
8519,4937,-252,438,2.067988395357381,7668,5952,0,0,5973,6831,-582,422,3.200496894602595,3114,7545,0,0,1450,6315,-48,-385,-0.7330442442571132,9525,4379,1,1,9346,5413,19,141,-2.4783609344066244,14527,7778,1,0,92804,-34358,200,-46573,-77490,200
